t,dsDNA488,dsDNA488647
0.0038912,0.052107769,0.086498255
0.0039936,0.050859336,0.078913215
0.004096,0.050271815,0.078250988
0.0043008,0.047234028,0.078693202
0.0045056,0.045076807,0.07483618
0.0047104,0.043146816,0.070137887
0.0049152,0.040791806,0.067389059
0.00512,0.038637939,0.060587746
0.0053248,0.03733617,0.058152283
0.0055296,0.035859505,0.060740206
0.0057344,0.034314863,0.056539795
0.0059392,0.033266872,0.052161748
0.006144,0.031312689,0.051857921
0.0063488,0.029561436,0.051877311
0.0065536,0.028742652,0.050603834
0.0067584,0.026996568,0.046187007
0.0069632,0.026197592,0.044866775
0.007168,0.025759285,0.046096312
0.0073728,0.025858355,0.040539548
0.0075776,0.025225777,0.039461064
0.0077824,0.024762763,0.039433074
0.0079872,0.024509581,0.04040163
0.008192,0.023751169,0.039992409
0.0086016,0.02237371,0.036997298
0.0090112,0.020152137,0.037756162
0.0094208,0.019866563,0.035074729
0.0098304,0.019218885,0.04008717
0.01024,0.017710017,0.036095669
0.0106496,0.017649238,0.036350396
0.0110592,0.016927467,0.034645494
0.0114688,0.016239739,0.03731817
0.0118784,0.015841753,0.03430101
0.012288,0.014612967,0.031524661
0.0126976,0.014584959,0.03094703
0.0131072,0.014027232,0.030186134
0.0135168,0.01459922,0.026649514
0.0139264,0.01309728,0.029054015
0.014336,0.011943805,0.025674547
0.0147456,0.011113411,0.018550486
0.0151552,0.010007022,0.016173975
0.0155648,0.009966187,0.017279667
0.0159744,0.009469402,0.014481113
0.016384,0.009207153,0.014437798
0.0172032,0.008887752,0.015235755
0.0180224,0.00755443,0.011888811
0.0188416,0.007544444,0.008028349
0.0196608,0.007159799,0.005634324
0.02048,0.006094164,0.005916103
0.0212992,0.004530661,0.007057916
0.0221184,0.004272147,0.010163894
0.0229376,0.004733835,0.009043815
0.0237568,0.004919149,0.008244765
0.024576,0.005296974,0.005198677
0.0253952,0.005195685,0.005049969
0.0262144,0.005094666,0.003716915
0.0270336,0.004978277,0.002836865
0.0278528,0.004829117,0.004320972
0.028672,0.003999426,0.003039051
0.0294912,0.003152877,0.001512411
0.0303104,0.002985694,0.001422342
0.0311296,0.002883701,-0.003182286
0.0319488,0.003596542,0.000586544
0.032768,0.002914551,0.001584966
0.0344064,0.003586557,0.00065863
0.0360448,0.003227565,0.003475167
0.0376832,0.002660205,0.00143016
0.0393216,0.00281613,0.002315683
0.04096,0.002557319,0.000119467
0.0425984,0.001944468,0.003353511
0.0442368,0.003273407,0.00371066
0.0458752,0.0017568,0.003390258
0.0475136,0.002084915,0.00351035
0.049152,0.002407644,0.001445797
0.0507904,0.002670758,0.003474854
0.0524288,0.001916216,0.002888467
0.0540672,0.002297154,0.002621387
0.0557056,0.001797202,0.003129902
0.057344,0.001277198,7.32E-05
0.0589824,0.001804969,0.000350425
0.0606208,0.00175109,0.003422001
0.0622592,0.002215863,0.000691468
0.0638976,0.001846886,0.000378259
0.065536,0.002127428,0.002496603
0.0688128,0.002696683,0.004874522
