t,GTP_EEA1,GTP_EEA1_2uMRab5GTP_Cy1_45
2.7262976,0.001255169,0.001191117
2.8311552,0.001846979,0.001070259
2.9360128,0.003120879,0.000995514
3.0408704,-0.001102909,-0.001041836
3.145728,-0.001346086,-0.001121477
3.2505856,-0.002481357,0.002521129
3.3554432,-0.002285479,0.003374885
3.4603008,-0.000423179,0.00035812
3.5651584,-0.000603652,0.001678811
3.670016,-0.001929577,-0.00048022
3.7748736,0.000130515,-0.002625912
3.8797312,0.002036384,0.000208365
3.9845888,0.003232342,0.001407525
4.0894464,0.000308463,0.000206098
4.194304,-0.003147229,-0.002373587
4.4040192,-0.000906163,0.001714549
4.6137344,0.004851196,-0.000123482
4.8234496,0.000829833,-0.00061487
5.0331648,-0.000705742,-0.003011535
5.24288,-0.001427762,-8.66E-05
5.4525952,0.000192639,-0.000571491
5.6623104,0.001350249,0.000372844
5.8720256,-0.000429427,0.00237509
6.0817408,-0.00112198,0.000540996
6.291456,-0.001686938,-0.00220015
6.5011712,0.000696515,-0.001412401
6.7108864,0.003466069,0.000470862
6.9206016,-0.001087559,-0.000735056
7.1303168,0.001356587,-0.004539015
7.340032,-0.000750683,-0.000153771
7.5497472,-0.00157734,-0.000554276
7.7594624,-0.002781146,0.001344063
7.9691776,-0.001829836,0.001419783
8.1788928,-7.01E-05,0.002404412
8.388608,-0.000298052,-0.001323871
